AC,Account,Manager,Date,CRBM
Developed,KSBF20020002,AKO,2001-05-31,-0.025236
Developed,KSBF20020002,AKO,2001-06-30,-0.034561
Developed,KSBF20020002,AKO,2001-07-31,-0.026051
Developed,KSBF20020002,AKO,2001-08-31,-0.060357
Developed,KSBF20020002,AKO,2001-09-30,-0.106827
Developed,KSBF20020002,AKO,2001-10-31,0.042538
Developed,KSBF20020002,AKO,2001-11-30,0.048
Developed,KSBF20020002,AKO,2001-12-31,0.020405
Developed,KSBF20020002,AKO,2002-01-31,-0.0243
Developed,KSBF20020002,AKO,2002-02-28,-0.008975
Developed,KSBF20020002,AKO,2002-03-31,0.043806
Developed,KSBF20020002,AKO,2002-04-30,-0.041242
Developed,KSBF20020002,AKO,2002-05-31,-0.033492
Developed,KSBF20020002,AKO,2002-06-30,-0.083369
Developed,KSBF20020002,AKO,2002-07-31,-0.114359
Developed,KSBF20020002,AKO,2002-08-31,0.004547
Developed,KSBF20020002,AKO,2002-09-30,-0.14716
Developed,KSBF20020002,AKO,2002-10-31,0.106611
Developed,KSBF20020002,AKO,2002-11-30,0.045936
Developed,KSBF20020002,AKO,2002-12-31,-0.081067
Developed,KSBF20020002,AKO,2003-01-31,-0.068289
Developed,KSBF20020002,AKO,2003-02-28,-0.017378
Developed,KSBF20020002,AKO,2003-03-31,-0.027384
Developed,KSBF20020002,AKO,2003-04-30,0.111111
Developed,KSBF20020002,AKO,2003-05-31,0.014312
Developed,KSBF20020002,AKO,2003-06-30,0.020385
Developed,KSBF20020002,AKO,2003-07-31,0.035108
Developed,KSBF20020002,AKO,2003-08-31,0.005497
Developed,KSBF20020002,AKO,2003-09-30,-0.035712
Developed,KSBF20020002,AKO,2003-10-31,0.057214
Developed,KSBF20020002,AKO,2003-11-30,0.016249
Developed,KSBF20020002,AKO,2003-12-31,0.0386
Developed,KSBF20020002,AKO,2004-01-31,0.008913
Developed,KSBF20020002,AKO,2004-02-29,0.018236
Developed,KSBF20020002,AKO,2004-03-31,-0.029927
Developed,KSBF20020002,AKO,2004-04-30,0.016991
Developed,KSBF20020002,AKO,2004-05-31,-0.015986
Developed,KSBF20020002,AKO,2004-06-30,0.014223
Developed,KSBF20020002,AKO,2004-07-31,-0.019424
Developed,KSBF20020002,AKO,2004-08-31,-0.004315
Developed,KSBF20020002,AKO,2004-09-30,0.022415
Developed,KSBF20020002,AKO,2004-10-31,0.01422
Developed,KSBF20020002,AKO,2004-11-30,0.019191
Developed,KSBF20020002,AKO,2004-12-31,0.02638
Developed,KSBF20020002,AKO,2005-01-31,0.010706
Developed,KSBF20020002,AKO,2005-02-28,0.026182
Developed,KSBF20020002,AKO,2005-03-31,-0.005938
Developed,KSBF20020002,AKO,2005-04-30,-0.027993
