Date,SBMMTB3 Index,SPX Index,NDDUWI Index,M1WO000G Index,MLCLEUR Index,RAG Index,RAY Index,CCMP Index,MIMUEURN Index,NDDUE15 Index,NDUGE15 Index,SPBSMIT Index,TPX Index,RGUSHSBT Index,RU30VATR Index,LG30TRUU Index,LBUSTRUU Index,SP5NINFT Index,SP5NINDU Index,LG57TRUU Index,S5COND Index,S5CONS Index,MXWD Index,MXCN Index,RGUSH Index,FTR1GRCH Index,M1FMASN Index,MBCN1A Index,R1FqF Index,H0A0 Index,SPLGAL Index,SPUHYBD Index,MXMS Index,LD19TRUU Index,MXEFSC Index,MXEA Index,NSELMTR Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/1998,0.004437,0.051201,0.042073,0.034502,0.073133,0.040003,0.049553,0.037321,0.073144,0.071217,0.044734,0,-0.011286,0.041546,0.059163,0.01527,0.003436,0,0,0,0.063261,0.048547,0.043397,-0.027412,0.036429,-0.034226,0,0.0501892,0,0,0,0.002707,-0.010326,0.004244,0.041965,0.032544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/1998,0.004237,0.010037,0.009622,0.005751,-0.002128,0.013083,0.009802,0.018154,0.02228,0.019395,0.017794,0,-0.022939,-0.009425,0.006522,0.003501,0.00522,0,0,0,0.02375,-0.029385,0.00939,-0.102728,0.018571,-0.105146,0,0.0136869,0,0,0,-0.001479,-0.079925,0.005664,-0.015629,0.008358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/1998,0.004325,-0.017281,-0.012682,-0.011199,0.025323,-0.032538,-0.024707,-0.047636,0.02766,0.020256,0.018226,0,-0.001188,-0.071613,-0.016794,-0.012141,0.009486,0,0,0,0.033984,0.016346,-0.018376,-0.127148,-0.024971,-0.142822,0,0.00728065,0,0,0,-0.003346,-0.155591,0.006705,-0.091691,-0.003293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/1998,0.004106,0.04061,0.023581,0.04268,0.0134,0.056661,0.033834,0.065538,0.002047,0.010956,0.02246,0,0.007463,-0.094512,0.011076,-0.009891,0.008481,0,0,0,0.04157,0.040482,0.018659,-0.156542,0.062753,-0.077488,0,0.0138191,0,0,0,-0.004638,-0.141261,0.004796,-0.126932,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/1998,0.004235,-0.01066,-0.001753,-0.001746,0.014518,-0.013469,-0.018185,-0.011525,0.01705,0.019756,0.007433,0,0.02576,-0.07107,-0.023062,0.00498,0.002127,0,0,0,-0.005707,-0.045122,-0.000208,-0.180988,-0.008186,-0.069564,0,0.00828755,0,0,0,0.001313,-0.004084,0.005038,-0.007139,0.009684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/1998,0.004261,-0.144583,-0.133503,-0.117205,-0.137546,-0.156734,-0.153199,-0.199028,-0.123748,-0.125782,-0.104051,0,-0.12314,-0.305515,-0.149474,-0.146855,0.016274,0,0,0,-0.15322,-0.118246,-0.140212,-0.274226,-0.128214,-0.10579,0,-0.09875465,0,0,0,-0.050244,-0.178741,0.009146,-0.219073,-0.123772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/1998,0.004087,0.064016,0.017514,0.022346,-0.075145,0.078651,0.068222,0.13028,-0.040522,-0.039982,-0.039857,0,-0.05327,0.258333,0.057314,0.02688,0.023416,0,0,0,-0.008048,0.004777,0.019987,0.432196,0.125797,0.151863,0,-0.00732395,0,0,0,-0.00751,0.047654,0.012288,0.005525,-0.030378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/1998,0.004017,0.081331,0.090228,0.08685,0.07374,0.07815,0.075913,0.046062,0.07104,0.080046,0.089416,0,-0.007626,0.069702,0.073473,0.007045,-0.005275,0,0,0,0.115643,0.150346,0.090597,0.099862,0.037894,0.300716,0,0.06021215,0,0,0,-0.02699,0.132848,-0.001463,0.087379,0.103384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/1998,0.003684,0.060601,0.059313,0.064353,0.076339,0.076174,0.061198,0.100894,0.050188,0.053204,0.050626,0,0.104239,0.070128,0.045019,0.05777,0.005663,0,0,0,0.076644,0.043057,0.060627,0.031595,0.05709,0.009807,0,0.0424228,0,0,0,0.027014,0.119181,0.005087,0.108691,0.0508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/1998,0.003704,0.057603,0.048703,0.072929,0.029602,0.090161,0.063545,0.1252,0.038786,0.043723,0.0662,0,-0.049161,0.072268,0.033828,-0.007193,0.003007,0,0,0,0.07721,0.018787,0.046011,-0.082318,0.052624,-0.044173,0,0.03768265,0,0,0,-0.004301,0.055269,0.004203,0.010465,0.038677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
