"Adjusted Ending Value with Multiple and Unfunded",2/1/2021,"Venture Capital and Private Equity _NEW ",USD,GroupBy1,GroupBy2,GroupBy3,Investment,Commitment,"Unfunded Commitment",Funding,"Additional Fees",Cash,Stock,"Valuation Date","Reported Valuation",Adjustments,"Adjusted Valuation",IRR,TVPI
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital India Growth Fund II, L.P.","3,000,000",0,"3,000,000",0,"891,231",0,9/30/2020,"3,894,451",0,"3,894,451",5.62,1.60
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital India Growth Fund III Ltd","2,000,000","1,610,000","390,000",0,0,0,9/30/2020,"313,254","100,000","413,254",8.05,1.06
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital India Seed Fund I LP","1,684,700","640,186","1,044,514",0,0,0,9/30/2020,"768,911","219,011","987,922",-6.11,0.95
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital India V Ltd","10,000,000","175,000","9,825,000",0,"588,590",0,9/30/2020,"13,965,403",0,"13,965,403",12.82,1.48
,,,,"Kamehameha Schools - Financial Assets Division",,,"SEQUOIA CAPITAL INDIA VI LTD","7,684,700","1,786,694","5,898,006",0,0,0,9/30/2020,"6,742,145","192,117","6,934,262",11.33,1.18
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital India VII Ltd","3,000,000","2,550,000","450,000",0,0,0,9/30/2020,"186,796","240,000","426,796",-8.26,0.95
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital Israel Venture Fund V, L.P.","4,000,000","180,000","3,820,000",0,"4,866,851","1,239,220",9/30/2020,"6,100,092","-1,239,220","4,860,872",30.28,2.87
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital U.S. Growth Fund IX LP","9,100,000","7,735,000","1,365,000",0,0,0,,N/A,"1,365,000","1,365,000",0.00,1.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital U.S. Growth Fund V","4,000,000",0,"4,000,000",0,"4,292,468","3,794,140",9/30/2020,"3,452,152","-21,881","3,430,271",25.60,2.88
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital U.S. Growth Fund VII LP","7,000,000","350,000","6,650,000",0,"985,546","13,823,858",9/30/2020,"18,000,575","-3,575,458","14,425,117",62.41,4.40
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital U.S. Growth Fund VIII LP","9,103,155","1,565,742","7,537,413",0,"457,051",0,9/30/2020,"7,599,570","500,674","8,100,244",8.87,1.14
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital U.S. Venture 2010","4,788,818","95,692","4,693,126",0,"8,140,206","22,746,647",9/30/2020,"22,916,101",0,"22,916,101",59.34,11.46
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital U.S. Venture Fund XIV, L.P.","5,540,176","288,089","5,252,087",0,"989,070","4,486,675",9/30/2020,"19,865,404",0,"19,865,404",29.53,4.82
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital U.S. Venture Fund XV LP","6,000,000","330,000","5,670,000",0,0,0,9/30/2020,"7,287,577","30,000","7,317,577",7.55,1.29
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital U.S. Venture Fund XVI LP","6,000,000","1,860,000","4,140,000",0,0,0,9/30/2020,"3,505,792","510,000","4,015,792",-2.60,0.97
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital U.S. Venture Fund XVII LP","6,000,000","5,370,000","630,000",0,0,0,,N/A,"630,000","630,000",0.00,1.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital US Growth Fund VI LP","6,000,000","90,000","5,910,000",0,"884,129","2,300,094",9/30/2020,"11,100,644",0,"11,100,644",19.13,2.42
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital US Scout Seed Fund 2013 LP","187,600","51,590","136,010",0,0,0,9/30/2020,"150,957",0,"150,957",2.22,1.11
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital US Scout Seed Fund III LP","2,490,000","747,000","1,743,000",0,0,0,9/30/2020,"1,685,610",0,"1,685,610",-2.22,0.97
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital US Venture 2010 - Seed Fund","213,022","11,716","201,306",0,"838,791","1,180,635",9/30/2020,"2,346,808","-542,996","1,803,812",60.74,18.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Global Growth Fund III – Endurance Partners LP","19,503,654","6,925,392","12,578,262",0,"-78,190",0,9/30/2020,"20,613,077","1,716,321","22,329,398",59.07,1.77
,,,,"Kamehameha Schools - Financial Assets Division",,,"Shamrock Capital Content Fund I, L.P","15,000,000","6,913,162","10,442,878","1,960,815","4,315,222",0,9/30/2020,"10,212,810","154,834","10,367,644",10.53,1.18
,,,,"Kamehameha Schools - Financial Assets Division",,,"Shamrock Capital Growth Fund II, L.P.","10,000,000","792,631","8,597,447","1,637,229","15,041,922",0,9/30/2020,"49,072",0,"49,072",9.73,1.47
,,,,"Kamehameha Schools - Financial Assets Division",,,"Shamrock Capital Growth Fund III, L.P.","15,000,000","1,034,729","13,380,083","2,103,938","39,003,001",0,9/30/2020,"15,216,985","-8,528,897","6,688,088",98.59,2.95
,,,,"Kamehameha Schools - Financial Assets Division",,,"Shamrock Capital Growth Fund IV LP","25,000,000","7,455,200","14,575,105","2,969,695","302,944",0,9/30/2020,"13,774,691","2,312,959","16,087,650",-3.38,0.93
